Age,JobLevel,MonthlyIncome,YearsAtCompany,StockOptionLevel,DistanceFromHome,OverTime,WorkLifeBalance,JobSatisfaction,Attrition
47,5,19212.0,2,3,6,Yes,2,4,No
38,5,20383.0,10,3,15,No,4,4,No
39,5,19607.0,4,3,15,No,4,4,No
42,4,13472.0,5,2,7,No,3,3,No
53,5,19596.0,9,3,21,No,4,4,No
40,3,9656.0,4,1,6,No,4,3,No
39,2,5639.0,4,0,4,No,4,1,Yes
27,2,5300.0,0,2,14,No,3,2,Yes
32,4,13405.0,6,2,11,No,3,1,No
32,4,13612.0,9,2,24,Yes,2,1,Yes
22,1,2966.0,0,0,8,No,3,1,Yes
45,3,9114.0,5,2,4,No,4,4,No
38,5,21463.0,12,3,7,No,4,4,No
52,4,16051.0,13,2,8,No,3,3,No
33,2,5582.0,1,1,10,No,4,2,No
23,2,5872.0,0,1,20,No,3,2,Yes
40,3,9937.0,9,2,13,No,3,4,No
23,2,5679.0,0,1,4,No,4,3,No
49,5,20190.0,7,3,10,No,4,4,No
37,3,8595.0,0,2,3,No,4,3,No
43,4,13368.0,1,3,16,No,3,3,No
33,1,2778.0,2,0,9,No,4,3,No
43,4,12564.0,0,3,13,Yes,2,2,Yes
23,2,5896.0,0,0,10,No,4,2,Yes
30,1,3536.0,5,0,19,No,3,1,Yes
42,5,19595.0,6,3,21,No,4,4,No
48,5,20237.0,10,3,2,No,3,3,No
29,4,13779.0,4,2,12,No,4,4,No
41,5,20747.0,12,3,14,No,4,4,No
35,4,13999.0,10,3,3,No,4,4,No
40,4,13677.0,6,1,17,No,3,3,No
56,5,19052.0,5,3,12,No,3,3,No
27,3,8006.0,1,2,12,No,4,3,No
27,3,8336.0,0,3,5,No,4,2,No
29,3,8408.0,3,1,1,No,3,1,Yes
22,2,5386.0,1,1,6,No,3,2,Yes
50,5,19813.0,7,3,6,No,3,3,No
45,4,15020.0,13,3,12,No,3,3,No
22,2,5473.0,0,0,1,No,4,1,Yes
39,4,13773.0,11,3,10,No,4,4,No
49,5,19482.0,8,3,10,Yes,2,3,No
32,5,19220.0,6,3,17,No,3,4,No
38,3,10450.0,13,1,19,No,3,2,Yes
34,4,13784.0,4,3,11,No,4,4,No
27,1,3227.0,1,0,7,No,4,1,Yes
38,2,5466.0,1,1,10,No,3,1,Yes
33,3,9315.0,2,2,16,No,3,3,Yes
24,2,5920.0,2,1,10,No,4,3,Yes
39,5,19359.0,13,3,1,No,3,3,No
27,2,5654.0,2,1,4,No,3,1,Yes
27,2,5344.0,2,0,24,No,4,3,Yes
25,4,13304.0,2,2,7,No,3,4,No
24,2,5845.0,1,0,6,No,4,1,Yes
39,3,8824.0,3,1,16,No,4,4,No
29,5,19502.0,2,3,12,No,4,4,No
33,4,13989.0,7,2,10,No,4,4,No
30,3,8335.0,2,0,3,Yes,2,1,Yes
25,1,3098.0,0,0,7,Yes,3,1,Yes
22,1,3667.0,0,0,8,No,3,1,Yes
47,5,19047.0,0,3,9,Yes,2,2,Yes
28,1,3231.0,0,0,3,Yes,3,2,Yes
27,1,3410.0,1,0,15,No,4,2,Yes
45,5,20050.0,5,3,19,No,4,4,No
34,3,8977.0,4,1,10,Yes,2,1,Yes
30,4,13289.0,4,2,19,No,3,3,No
47,5,20445.0,4,3,26,Yes,3,4,No
28,2,5886.0,3,2,10,Yes,2,1,Yes
35,4,14599.0,11,3,7,No,3,3,No
48,4,12395.0,1,3,9,No,4,4,No
48,2,6201.0,3,0,20,No,4,2,Yes
30,2,5821.0,3,0,26,Yes,2,1,Yes
57,5,20035.0,12,3,8,No,4,4,No
37,5,20000.0,6,3,18,No,3,4,No
30,3,9263.0,5,1,16,Yes,2,1,Yes
44,5,20045.0,9,3,11,No,4,2,No
57,5,19685.0,11,3,15,Yes,3,1,Yes
25,2,5780.0,1,0,6,No,4,1,Yes
27,3,9171.0,4,0,8,No,3,2,Yes
26,2,6674.0,2,2,23,No,4,3,No
29,4,13957.0,6,3,13,No,4,2,No
30,2,5200.0,1,1,17,No,3,2,Yes
33,2,5340.0,2,1,3,No,3,1,Yes
54,5,19409.0,5,3,14,No,4,4,No
38,2,5960.0,3,1,18,No,3,1,Yes
28,1,3584.0,3,0,14,Yes,2,1,Yes
33,3,9179.0,5,2,14,No,3,1,Yes
20,2,5830.0,0,2,14,No,3,2,Yes
29,2,5255.0,1,2,15,No,3,1,Yes
35,4,13392.0,2,3,7,Yes,2,1,Yes
34,4,14194.0,6,3,6,No,3,4,No
47,5,19069.0,6,3,5,No,4,4,No
41,3,9888.0,14,0,3,No,3,2,Yes
38,5,18861.0,6,3,9,No,3,4,No
37,4,13546.0,2,2,25,No,3,4,No
43,3,8353.0,5,2,10,No,3,3,No
26,2,5932.0,1,2,20,No,4,3,No
40,2,6069.0,5,1,15,No,3,2,Yes
27,2,5359.0,1,1,24,No,4,2,Yes
34,4,13795.0,8,2,6,Yes,2,2,Yes
28,1,4879.0,6,0,10,No,4,2,Yes
31,3,8570.0,1,1,3,No,3,3,No
31,1,3572.0,3,0,21,No,3,3,Yes
31,2,5910.0,2,1,12,No,3,3,No
56,4,12078.0,0,2,11,No,4,4,No
20,1,2721.0,0,0,6,Yes,3,1,Yes
38,3,9611.0,7,1,24,No,4,4,No
30,3,8434.0,2,2,13,No,4,4,No
47,5,21153.0,17,3,12,Yes,2,3,No
33,1,3502.0,5,0,19,No,3,1,Yes
23,2,5293.0,2,1,19,No,4,3,No
24,1,2803.0,0,0,18,No,3,2,Yes
47,4,13479.0,5,3,11,No,3,3,No
28,4,12995.0,2,1,18,No,4,3,No
40,4,14133.0,7,2,6,No,4,4,No
41,4,13959.0,2,1,4,No,3,2,No
25,1,2954.0,3,0,20,No,4,2,Yes
29,3,9062.0,3,2,20,No,3,1,Yes
37,4,13748.0,3,1,7,Yes,2,1,Yes
24,2,5236.0,0,1,7,No,3,1,Yes
31,3,8837.0,3,1,12,No,3,2,Yes
44,3,9540.0,5,0,8,No,4,2,Yes
25,1,2750.0,0,0,24,No,4,1,Yes
39,5,18620.0,0,3,10,No,4,4,No
22,1,3949.0,0,0,9,Yes,2,1,Yes
41,4,13984.0,7,3,14,No,4,3,No
29,2,5990.0,2,2,16,No,3,1,Yes
32,3,8587.0,0,2,21,No,4,2,No
44,3,9850.0,6,0,4,Yes,2,1,Yes
45,1,3720.0,3,0,17,Yes,3,1,Yes
24,1,3343.0,2,0,12,Yes,3,1,Yes
20,1,3143.0,0,0,11,No,4,3,Yes
43,5,19967.0,12,3,12,No,4,4,No
26,2,5543.0,1,0,19,No,3,2,Yes
43,5,20198.0,4,3,17,No,3,2,No
24,1,2813.0,1,0,4,No,3,1,Yes
29,1,4064.0,2,0,12,No,4,3,No
50,3,8283.0,1,2,7,No,3,2,Yes
40,4,13468.0,4,1,24,No,3,3,Yes
22,2,5405.0,0,0,9,Yes,1,1,Yes
22,1,3388.0,0,0,4,Yes,2,1,Yes
26,1,2459.0,0,0,8,No,3,1,Yes
37,2,4956.0,3,0,7,Yes,2,1,Yes
30,4,13069.0,1,3,6,No,4,3,No
49,4,13675.0,9,2,19,No,4,4,No
20,1,2850.0,0,0,3,Yes,2,1,Yes
28,2,5749.0,4,1,17,No,3,1,Yes
45,3,9168.0,6,1,8,No,3,2,Yes
24,3,8863.0,0,0,8,No,3,4,No
23,1,3273.0,0,0,5,No,4,2,Yes
43,3,9019.0,5,3,17,No,4,2,No
35,3,9006.0,5,2,21,Yes,3,1,Yes
30,4,13670.0,7,2,12,No,4,4,No
31,2,5783.0,4,2,18,No,3,2,Yes
30,3,8623.0,0,1,13,Yes,2,1,Yes
26,1,3553.0,5,0,2,Yes,3,1,Yes
22,1,2906.0,1,0,11,No,4,3,Yes
34,1,3258.0,0,0,17,Yes,2,1,Yes
30,3,8705.0,1,2,6,Yes,2,1,Yes
26,1,3188.0,3,0,20,No,3,2,Yes
34,3,8641.0,2,2,12,No,4,3,No
47,2,5386.0,0,2,18,No,3,2,Yes
39,3,8496.0,2,1,27,No,3,1,Yes
46,3,8604.0,5,2,18,Yes,3,3,Yes
23,2,5626.0,1,0,5,No,3,3,No
23,1,2977.0,1,0,13,No,3,1,Yes
48,5,20594.0,12,3,6,No,3,4,No
37,3,10021.0,10,1,19,No,3,1,Yes
42,4,13500.0,5,3,27,No,4,4,No
39,4,13959.0,6,0,16,No,4,3,No
25,2,5729.0,0,2,23,No,3,2,Yes
55,5,20382.0,7,3,14,Yes,2,1,Yes
40,2,5578.0,2,1,12,No,3,2,Yes
46,5,19856.0,6,3,6,No,3,3,No
26,1,2635.0,0,0,11,No,3,1,Yes
29,3,8747.0,0,2,11,No,3,3,No
36,3,8521.0,5,0,3,No,4,3,No
48,5,20062.0,5,3,7,No,3,4,No
27,2,4831.0,0,1,5,No,4,2,Yes
37,4,14544.0,11,2,8,Yes,2,3,No
43,4,13883.0,8,1,20,No,3,2,No
53,3,8821.0,2,2,16,No,4,1,Yes
41,3,9815.0,5,2,16,No,4,4,No
34,2,5681.0,2,2,8,No,4,3,No
24,2,6025.0,1,1,4,No,4,2,Yes
56,5,23636.0,32,3,8,No,3,4,No
31,1,3267.0,2,0,21,No,3,1,Yes
42,5,19932.0,6,3,28,No,3,4,No
31,2,5523.0,2,2,4,No,3,2,Yes
27,2,6194.0,4,1,5,No,3,3,Yes
28,1,3064.0,0,0,11,No,4,2,Yes
33,2,5500.0,2,2,8,No,4,2,No
40,5,20149.0,10,3,26,No,4,4,No
21,1,2937.0,1,0,12,No,4,1,Yes
28,1,3382.0,0,0,7,No,3,2,Yes
32,4,14233.0,7,0,16,No,4,3,No
48,5,20384.0,9,3,5,No,4,4,No
28,1,3086.0,1,0,22,No,4,2,Yes
26,2,6596.0,4,1,5,No,4,2,No
52,5,20646.0,12,3,10,Yes,2,3,No
25,3,8629.0,0,3,6,Yes,2,2,Yes
34,2,5641.0,4,0,14,No,4,4,No
57,5,21518.0,20,3,16,No,4,4,No
46,5,18978.0,4,3,5,No,3,3,No
32,2,6037.0,5,1,3,No,4,3,No
31,1,2450.0,0,0,3,No,4,1,Yes
39,4,13976.0,10,3,5,No,4,4,No
33,2,5688.0,2,2,12,No,4,4,No
44,4,14136.0,5,3,18,No,3,3,No
42,5,20319.0,14,3,18,No,4,4,No
26,3,8444.0,1,1,2,Yes,2,2,Yes
19,1,3110.0,0,0,6,Yes,3,2,Yes
39,5,20185.0,11,3,4,No,4,4,No
29,1,3369.0,3,0,9,No,4,1,Yes
31,2,5755.0,1,0,9,No,3,2,Yes
35,4,14583.0,9,2,13,No,4,2,No
26,2,5714.0,1,1,9,No,3,1,Yes
48,5,19348.0,7,3,19,No,2,3,No
27,3,8376.0,0,1,12,No,3,1,Yes
23,1,3453.0,1,0,23,No,4,3,Yes
36,4,14402.0,8,0,14,Yes,2,1,Yes
51,5,20447.0,9,3,18,No,3,3,No
31,4,14209.0,5,2,4,No,4,3,No
44,5,19836.0,9,3,11,No,3,3,No
38,5,20044.0,9,3,9,No,4,4,No
43,5,20548.0,14,3,1,No,3,3,No
31,1,3163.0,1,0,9,No,4,2,Yes
28,3,9062.0,1,1,8,No,4,2,Yes
44,3,8736.0,5,2,16,Yes,3,1,Yes
41,3,9192.0,7,1,14,No,4,3,Yes
39,4,13746.0,7,2,17,No,3,3,No
23,1,2843.0,0,0,3,No,3,1,Yes
42,4,13563.0,7,2,6,No,3,2,No
35,3,9804.0,10,1,12,Yes,2,1,Yes
37,1,3450.0,4,0,6,No,4,2,Yes
51,5,20299.0,10,3,22,No,3,3,No
37,5,20303.0,11,3,6,No,3,3,No
26,2,5402.0,2,0,24,No,4,2,Yes
40,4,13926.0,4,2,19,No,3,1,Yes
33,2,6649.0,5,3,7,No,3,1,Yes
53,5,20179.0,11,3,4,No,4,4,No
30,4,13614.0,4,2,7,No,3,2,No
29,1,3438.0,2,0,5,No,4,2,Yes
42,5,19340.0,9,3,7,No,3,4,No
28,1,2789.0,1,0,22,No,3,1,Yes
28,4,13021.0,1,2,12,No,4,4,No
34,1,2656.0,0,0,11,No,3,2,Yes
29,2,5339.0,1,0,9,No,3,1,Yes
29,3,7925.0,1,1,12,No,4,3,No
37,4,14292.0,7,2,14,No,3,3,No
28,4,13722.0,5,3,23,No,4,4,No
28,3,8186.0,1,3,22,No,3,4,No
39,4,13171.0,1,3,6,No,3,2,No
38,3,8631.0,5,2,8,No,3,2,Yes
34,3,8732.0,2,2,23,No,4,2,Yes
41,5,19528.0,7,3,13,No,4,4,No
30,4,12806.0,1,3,6,No,3,3,No
34,1,3887.0,4,0,9,No,4,2,Yes
35,2,5750.0,2,0,11,No,4,2,Yes
35,3,9363.0,3,2,4,No,4,3,No
55,5,21182.0,21,3,13,No,4,4,No
42,2,4869.0,0,1,10,No,3,1,Yes
28,3,8629.0,2,1,4,No,3,2,No
35,4,14239.0,8,1,20,No,4,4,No
29,2,5936.0,3,0,17,No,3,1,Yes
38,2,6013.0,10,1,8,No,3,1,Yes
28,2,5833.0,4,0,3,No,3,3,Yes
33,3,8910.0,4,1,12,No,4,1,Yes
19,2,5322.0,0,0,8,Yes,2,2,Yes
38,4,13663.0,7,2,8,No,4,4,No
49,5,21538.0,24,3,9,No,3,4,No
47,3,8776.0,1,2,6,Yes,2,2,Yes
37,4,13763.0,5,2,8,No,3,3,No
31,1,3320.0,1,0,12,No,4,2,Yes
42,5,18780.0,1,3,7,No,3,3,No
33,5,18863.0,2,3,16,No,4,4,No
27,3,8602.0,1,2,5,No,4,4,No
28,2,5873.0,2,1,4,No,3,1,Yes
30,1,2710.0,1,0,4,No,4,3,Yes
28,1,3003.0,1,0,5,No,4,3,Yes
44,3,8705.0,1,3,9,No,3,3,No
39,2,5992.0,3,0,9,No,3,2,Yes
58,5,19581.0,6,3,11,No,4,4,No
21,1,2983.0,0,0,6,No,3,1,Yes
34,1,2965.0,0,0,5,Yes,2,1,Yes
29,4,14292.0,8,2,5,No,3,4,No
19,2,5460.0,0,0,23,Yes,2,2,Yes
37,4,14606.0,13,1,21,No,4,3,No
29,3,8400.0,4,3,7,No,4,3,No
23,2,5762.0,2,1,9,Yes,3,1,Yes
30,2,5510.0,0,1,10,No,4,3,No
38,2,6276.0,2,0,5,No,4,1,Yes
44,1,3845.0,2,0,10,Yes,2,1,Yes
30,1,2917.0,1,0,15,Yes,3,2,Yes
33,3,8201.0,4,2,20,No,3,2,No
24,1,2964.0,0,0,14,No,4,3,Yes
48,5,19464.0,2,3,14,No,4,3,No
31,2,5630.0,6,0,6,No,3,1,Yes
57,5,20555.0,14,3,24,No,3,3,No
25,1,3644.0,2,0,3,No,3,2,Yes
45,2,5772.0,1,0,15,No,3,4,No
35,4,12663.0,0,3,5,No,3,2,No
40,3,8696.0,4,0,4,No,4,3,No
34,1,3731.0,6,0,7,Yes,3,1,Yes
29,4,13799.0,1,2,5,No,3,3,No
36,1,3070.0,2,0,4,Yes,2,1,Yes
30,2,5502.0,2,2,18,No,3,2,Yes
33,2,6203.0,6,2,18,No,4,3,No
36,2,6349.0,3,0,11,No,3,1,Yes
27,5,19778.0,4,3,11,No,4,4,No
33,4,13017.0,2,3,6,No,4,4,No
30,1,3541.0,0,0,19,No,3,1,Yes
25,4,13413.0,1,2,5,No,3,3,No
23,1,3283.0,1,0,17,No,4,1,Yes
29,2,5531.0,0,0,9,No,4,3,No
28,2,5241.0,1,1,22,No,3,2,Yes
27,3,7897.0,2,1,6,No,3,3,Yes
51,5,22087.0,22,3,12,No,3,3,No
31,2,5758.0,0,1,4,No,4,4,No
36,2,7217.0,10,1,11,No,3,3,Yes
29,2,5416.0,4,1,4,No,4,2,Yes
33,4,15260.0,10,2,9,No,4,3,No
29,3,8355.0,1,2,3,No,4,2,No
48,4,13611.0,3,2,18,No,3,3,Yes
32,4,13061.0,3,2,4,No,4,4,No
39,2,6075.0,4,1,4,No,4,3,No
56,5,20655.0,19,3,24,Yes,2,3,No
26,1,3164.0,4,0,22,Yes,2,1,Yes
31,3,8558.0,3,1,14,No,4,4,No
36,3,9664.0,7,1,21,No,3,2,No
59,4,13061.0,5,2,5,No,3,4,No
33,1,3087.0,0,0,5,No,3,3,Yes
34,5,19547.0,1,3,8,No,4,4,No
30,3,9597.0,4,1,2,No,4,4,No
29,4,13741.0,4,2,20,No,3,3,No
28,1,3156.0,2,0,14,No,3,3,Yes
34,2,5122.0,4,1,6,No,4,3,No
39,4,13854.0,4,2,11,No,3,3,No
27,1,3158.0,2,0,9,Yes,2,2,Yes
40,3,8956.0,3,2,24,No,3,1,Yes
28,1,2656.0,0,0,8,No,3,1,Yes
50,1,3256.0,2,0,16,No,4,1,Yes
57,5,20480.0,6,3,18,No,3,3,No
45,5,20328.0,13,3,9,No,3,4,No
20,1,3374.0,0,0,16,No,3,1,Yes
35,5,18937.0,2,3,10,No,4,4,No
34,2,5879.0,0,0,17,No,4,2,Yes
32,1,2881.0,0,0,17,Yes,3,1,Yes
25,1,3150.0,5,0,3,No,3,1,Yes
50,4,13856.0,5,3,8,No,3,3,No
29,4,13109.0,1,3,24,No,3,2,Yes
39,1,2743.0,1,0,5,No,4,3,No
51,4,14091.0,12,1,23,No,4,3,No
42,5,19328.0,1,3,17,No,3,4,No
44,5,20239.0,10,3,17,No,4,4,No
29,5,19205.0,4,3,17,Yes,2,3,Yes
43,5,20247.0,5,3,13,No,3,3,No
24,1,3054.0,2,0,13,Yes,3,1,Yes
43,5,20429.0,13,3,10,No,4,4,No
41,4,14086.0,3,2,12,Yes,2,1,Yes
22,4,12826.0,0,1,15,No,4,3,No
40,1,3636.0,2,0,2,Yes,3,2,Yes
55,5,18950.0,1,3,6,No,3,4,No
40,4,14405.0,6,2,16,Yes,2,1,Yes
32,4,14237.0,9,2,5,No,3,2,No
30,1,3105.0,1,0,11,No,3,1,Yes
35,5,20340.0,8,3,5,No,4,3,No
24,1,2802.0,0,0,2,No,4,3,No
34,2,5833.0,0,0,4,No,4,2,Yes
35,5,19444.0,7,3,10,No,3,4,No
46,2,5503.0,3,1,5,No,3,2,Yes
44,4,13321.0,5,3,22,No,3,3,No
47,5,21195.0,15,3,20,No,4,4,No
58,5,19969.0,6,3,7,No,3,4,No
29,2,5511.0,0,1,6,No,4,3,No
41,2,6767.0,8,1,16,No,4,4,No
29,1,3596.0,0,0,18,No,4,3,Yes
26,2,5727.0,0,0,8,No,3,1,Yes
42,5,19437.0,7,3,22,Yes,3,3,No
36,2,5032.0,0,1,11,No,3,2,Yes
22,1,2848.0,0,0,5,No,3,1,Yes
37,1,3414.0,4,0,9,No,3,1,Yes
45,5,18347.0,2,3,17,No,3,4,No
32,3,8569.0,1,3,17,No,3,3,No
36,3,9591.0,12,2,18,No,3,2,No
47,3,9906.0,6,1,10,No,4,3,No
40,5,19540.0,6,3,13,No,4,4,No
32,1,3518.0,2,0,7,No,3,1,Yes
23,1,2890.0,1,0,22,No,4,2,Yes
52,2,5710.0,2,1,13,No,3,2,Yes
58,5,20786.0,13,3,16,No,4,4,No
30,1,3649.0,5,0,22,Yes,2,1,Yes
43,3,8947.0,2,2,16,No,4,3,No
46,5,18579.0,1,3,7,No,4,3,No
50,5,20019.0,11,3,2,No,4,4,No
21,2,6049.0,1,3,16,No,4,2,No
34,5,20209.0,10,3,18,No,4,3,No
23,1,3663.0,1,0,7,No,3,1,Yes
30,1,3382.0,1,0,14,Yes,3,2,Yes
26,1,3757.0,3,0,7,No,3,2,Yes
43,5,21111.0,13,3,4,No,4,4,No
44,5,19278.0,6,3,3,Yes,2,3,Yes
32,1,2959.0,0,0,2,No,4,3,Yes
27,1,3649.0,1,0,10,Yes,2,1,Yes
23,1,3419.0,2,0,4,Yes,2,1,Yes
46,5,22273.0,24,3,14,No,3,4,No
41,5,19455.0,3,3,6,No,3,1,Yes
25,1,3029.0,0,0,4,No,3,1,Yes
34,4,13494.0,5,2,3,No,4,4,No
27,4,13114.0,1,2,11,No,3,2,Yes
38,2,6051.0,6,0,19,No,3,2,Yes
31,3,9076.0,3,3,3,No,3,4,No
33,5,19180.0,1,3,14,No,3,4,No
37,4,13044.0,3,3,9,No,4,4,No
23,2,6061.0,1,2,11,No,4,2,No
43,5,20548.0,10,3,16,No,3,4,No
37,4,14083.0,4,2,11,No,4,2,No
33,1,3095.0,3,0,9,No,4,2,Yes
34,3,9129.0,1,2,20,No,4,2,Yes
34,2,5294.0,0,0,9,Yes,2,1,Yes
33,3,9215.0,5,1,19,No,4,2,Yes
24,1,3542.0,1,0,3,No,4,1,Yes
47,5,20905.0,14,3,8,No,3,4,No
42,5,21271.0,17,3,17,No,3,4,No
37,4,13206.0,5,1,5,No,3,3,No
36,2,5555.0,2,1,15,No,3,2,Yes
22,1,2487.0,0,0,6,No,4,2,Yes
36,4,13043.0,1,2,13,No,4,4,No
39,4,13461.0,5,2,16,Yes,3,3,No
35,4,13791.0,9,3,22,Yes,3,3,Yes
25,3,8567.0,3,1,20,No,4,4,No
25,2,5852.0,2,3,13,No,3,1,Yes
26,3,8686.0,2,1,6,No,3,1,Yes
33,2,5879.0,8,0,21,No,3,1,Yes
34,2,5811.0,1,1,15,No,4,1,Yes
24,2,6149.0,0,1,17,No,3,3,No
28,3,8971.0,1,1,21,No,4,3,No
50,4,13901.0,8,1,9,Yes,2,3,Yes
32,2,5510.0,1,0,11,Yes,2,1,Yes
37,5,20280.0,11,3,17,No,3,3,No
37,4,13241.0,1,3,7,No,4,4,No
35,4,14462.0,14,2,23,No,4,4,No
47,2,5970.0,4,1,12,No,3,2,Yes
32,2,5894.0,5,0,10,No,4,2,Yes
24,1,3425.0,2,0,2,No,4,1,Yes
29,4,13989.0,4,3,14,No,3,4,No
25,1,3361.0,0,0,7,No,4,1,Yes
39,4,14125.0,8,1,6,No,4,4,No
40,4,13471.0,7,2,10,No,3,2,No
32,1,4275.0,5,0,7,No,3,1,Yes
30,3,8638.0,2,2,6,Yes,2,1,Yes
34,3,8812.0,4,2,11,Yes,2,1,Yes
32,3,9272.0,4,2,13,No,4,4,No
27,2,5947.0,0,1,14,No,4,3,No
21,1,2988.0,0,0,11,Yes,3,1,Yes
21,2,5745.0,0,2,13,No,4,1,Yes
44,4,13998.0,9,2,8,No,3,3,No
34,4,14269.0,5,3,19,No,4,4,No
35,3,9785.0,10,1,13,No,3,1,Yes
39,3,8589.0,7,1,5,No,3,1,Yes
36,2,6302.0,10,1,6,No,3,3,No
39,1,3378.0,4,0,4,No,4,2,Yes
35,5,19622.0,2,3,23,No,4,4,No
28,1,3613.0,1,0,15,Yes,2,1,Yes
29,2,6040.0,3,1,20,No,4,3,Yes
42,1,3234.0,2,0,3,No,3,1,Yes
34,4,13091.0,3,3,18,No,3,3,Yes
27,2,5841.0,1,0,4,No,3,2,Yes
28,2,4855.0,0,2,5,No,4,4,No
28,1,3238.0,3,0,15,No,3,1,Yes
33,1,2951.0,0,0,17,Yes,2,1,Yes
44,2,5784.0,4,1,5,No,4,1,Yes
50,4,13763.0,6,3,15,Yes,2,2,Yes
24,1,2779.0,0,0,22,No,3,2,Yes
25,4,12803.0,1,3,12,No,4,3,No
38,3,9277.0,8,2,10,No,3,2,No
28,1,3727.0,0,0,12,Yes,2,1,Yes
48,5,19375.0,5,3,21,No,4,4,No
21,1,2840.0,0,0,14,No,3,2,Yes
31,3,8465.0,5,2,3,No,4,4,No
40,4,12538.0,1,3,3,No,4,3,No
40,3,8664.0,3,1,15,No,3,4,No
24,2,5560.0,0,1,9,No,4,2,Yes
22,1,2815.0,2,0,17,Yes,3,1,Yes
23,2,6573.0,1,1,20,Yes,2,1,Yes
48,5,19637.0,12,3,3,No,4,4,No
